N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
146,넵튠,"15,400",100,+0.65%,500,"5,081","32,995",0.44,"42,572",50.66,30.49,
147,매일유업,"64,500",100,-0.15%,500,"5,059","7,844",13.93,"7,000",7.55,15.84,
148,원익머트리얼즈,"39,650","1,750",+4.62%,500,"4,999","12,608",21.20,"249,672",8.91,14.45,
149,셀리버리,"28,400","1,200",-4.05%,500,"4,923","17,334",3.21,"252,284",-12.53,N/A,
150,CJ프레시웨이,"41,400",200,+0.49%,"1,000","4,915","11,872",16.39,"39,556",12.41,12.28,
151,삼표시멘트,"4,535",5,-0.11%,500,"4,894","107,916",0.99,"286,537",20.34,3.13,
152,네오이뮨텍,"4,935",135,-2.66%,0,"4,873","98,742",7.65,"750,261",-8.69,-38.17,
153,이엔에프테크놀로지,"33,950",300,+0.89%,500,"4,851","14,288",11.20,"52,387",19.92,5.77,
154,테스,"24,350",400,-1.62%,500,"4,814","19,768",8.24,"37,467",7.85,27.84,
155,다우데이타,"12,500",250,-1.96%,500,"4,788","38,300",10.01,"47,228",4.11,17.60,
156,사람인에이치알,"40,850","1,500",-3.54%,500,"4,763","11,659",24.22,"11,939",13.89,23.20,
157,메지온,"17,550",750,-4.10%,500,"4,693","26,742",11.35,"138,242",-30.10,-22.75,
158,네패스아크,"38,500",550,-1.41%,500,"4,691","12,184",1.11,"39,092",17.63,14.09,
159,에이스테크,"10,400",150,+1.46%,500,"4,672","44,926",3.64,"185,104",-17.96,-44.53,
160,엘비세미콘,"10,600",50,-0.47%,500,"4,641","43,785",2.39,"240,022",13.38,16.16,
161,인선이엔티,"9,960",40,-0.40%,500,"4,638","46,564",4.27,"84,624",18.51,7.67,
162,서울옥션,"26,050","1,050",+4.20%,500,"4,630","17,774",2.39,"765,562",23.83,21.05,
163,에이피티씨,"19,500",100,+0.52%,100,"4,622","23,701",3.46,"61,134",11.29,45.60,
164,휴마시스,"13,450",100,-0.74%,100,"4,603","34,224",4.68,"412,638",1.53,120.63,
165,휴온스,"38,500",600,-1.53%,500,"4,595","11,936",22.20,"7,603",15.03,12.18,
166,에이스침대,"40,700",400,+0.99%,"1,000","4,514","11,090",3.98,"5,646",7.08,11.95,
167,크리스에프앤씨,"38,450","1,150",+3.08%,"1,000","4,505","11,715",3.72,"115,169",6.43,24.99,
168,HLB테라퓨틱스,"14,150",600,+4.43%,500,"4,434","31,335",4.69,"12,093,673",-24.31,-16.53,
169,바이넥스,"13,900",100,-0.71%,500,"4,415","31,761",6.85,"109,407",35.10,10.80,
170,쎄트렉아이,"48,200",850,-1.73%,500,"4,379","9,086",1.69,"97,040",-39.22,-12.07,
171,에스에이엠티,"4,330",20,+0.46%,500,"4,330","99,995",4.12,"158,687",6.37,21.23,
172,초록뱀미디어,"19,950",600,+3.10%,"5,000","4,330","21,703",0.00,"118,596",-26.53,-9.65,
173,신흥에스이씨,"55,200",0,0.00%,"2,500","4,285","7,763",4.14,"22,684",18.44,12.70,
174,더네이쳐홀딩스,"29,400",600,-2.00%,500,"4,276","14,545",13.11,"88,665",6.66,30.41,
175,국전약품,"8,710",60,-0.68%,100,"4,274","49,069",0.77,"306,137",96.78,7.00,
176,KG이니시스,"15,300",300,-1.92%,500,"4,269","27,904",10.79,"146,418",9.53,14.45,
177,성우하이텍,"5,330",70,-1.30%,500,"4,264","80,000",5.80,"366,031",10.92,4.20,
178,컴투스홀딩스,"64,600","1,100",-1.67%,500,"4,260","6,595",6.38,"104,410",24.12,9.22,
179,HLB제약,"15,400","1,350",-8.06%,500,"4,230","27,469",0.40,"2,391,443",-28.00,-21.50,
180,하나기술,"56,500",0,0.00%,500,"4,222","7,473",0.23,"21,815",-163.29,-4.71,
181,CMG제약,"3,035",50,-1.62%,500,"4,215","138,892",6.24,"254,678",202.33,1.73,
182,동원개발,"4,640",80,-1.69%,500,"4,213","90,808",10.64,"87,579",5.23,N/A,
183,현대무벡스,"3,730",5,+0.13%,100,"4,211","112,907",0.05,"827,059",42.87,7.33,
184,에프에스티,"19,350",50,+0.26%,500,"4,210","21,757",2.74,"41,673",27.56,19.17,
185,아이센스,"30,500",650,-2.09%,500,"4,195","13,754",40.33,"27,526",13.30,10.43,
186,팜스토리,"3,755",70,+1.90%,500,"4,184","111,417",0.92,"8,453,702",83.44,2.45,
187,SM C&C,"4,375",10,-0.23%,500,"4,183","95,610",2.81,"314,287",-45.10,-8.65,
188,코엔텍,"8,290",110,+1.34%,500,"4,145","50,000",6.80,"213,594",12.77,19.33,
189,압타바이오,"18,550",800,-4.13%,500,"4,136","22,299",4.39,"185,457",-40.68,-15.99,
190,원익피앤이,"27,900",100,-0.36%,500,"4,134","14,819",1.32,"84,491",31.28,17.19,
191,덱스터,"16,250",500,-2.99%,500,"4,129","25,410",0.77,"275,488",-131.05,-1.63,
192,에치에프알,"30,600","2,150",-6.56%,500,"4,128","13,489",3.14,"227,202",13.47,22.30,
193,국일제지,"3,215",10,+0.31%,100,"4,103","127,617",3.11,"575,646",-54.49,-12.03,
194,와이아이케이,"5,000",60,-1.19%,100,"4,102","82,045",0.47,"71,011",8.20,18.55,
195,라파스,"46,950",250,-0.53%,500,"4,046","8,617",0.00,"79,898",129.70,10.21,
196,티앤알바이오팹,"19,400",500,-2.51%,500,"4,034","20,792",3.36,"56,782",-33.68,-25.26,
197,맥스트,"20,550",450,-2.14%,500,"4,022","19,571",2.28,"404,664",-74.46,-43.45,
198,다올인베스트먼트,"4,020",10,+0.25%,500,"4,020","100,000",0.16,"59,896",5.04,28.01,
199,레인보우로보틱스,"24,900",600,+2.47%,500,"4,018","16,135",2.59,"262,819",-244.12,-28.81,
200,디와이피엔에프,"37,400",0,0.00%,500,"4,007","10,714",8.66,"13,055",-281.20,5.10,
